,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,2.3333333333333335
7,1.0
8,1.0
9,1.2
10,1.1744186046511629
11,1.0828402366863905
12,1.0862619808306708
13,1.125340599455041
14,1.0604515659140568
15,1.0465116279069766
16,1.0525883319638456
17,1.0417624521072797
18,1.0642317380352644
19,1.0533272561531448
20,1.07731694828469
21,1.0883944678292243
22,1.062125748502994
23,1.082
24,1.0823117338003503
25,1.1513002364066194
26,1.1821305841924399
27,1.1198738170347005
28,1.0921985815602837
29,1.108348134991119
30,1.055350553505535
31,1.0863228699551568
32,1.0847880299251869
33,1.12375533428165
34,1.113154172560113
35,1.1459170013386881
36,1.164071856287425
37,1.263
38,1.502868068833652
39,1.6233653007846556
40,1.6684397163120568
41,1.8577405857740583
42,1.974702380952381
43,2.0354430379746837
44,1.9586776859504134
45,2.0662983425414367
46,1.9325842696629214
47,2.0310077519379846
48,2.0892561983471074
49,2.111744583808438
50,2.122923588039867
