# Avida Dominant Parasite Data
# Mon Feb 19 16:36:43 2024
#  1: Update
#  2: Number of Extant Parasites

0 903 
100 799 
200 512 
300 1152 
400 2006 
500 2816 
600 2842 
700 2522 
800 2341 
900 2203 
1000 2045 
1100 1912 
1200 1784 
1300 1828 
1400 1938 
1500 2041 
1600 2061 
1700 2025 
1800 1969 
1900 1904 
2000 1901 
2100 1899 
2200 1854 
2300 1815 
2400 1765 
2500 1697 
2600 1619 
2700 1446 
2800 1373 
2900 1677 
3000 1915 
3100 2176 
3200 1896 
3300 1613 
3400 1349 
3500 1452 
3600 1824 
3700 1921 
3800 1888 
3900 1394 
4000 948 
4100 789 
4200 727 
4300 1187 
4400 1522 
4500 1830 
4600 1671 
4700 1232 
4800 789 
4900 719 
5000 999 
