# Thu Feb 22 17:06:20 2024
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 2 0.830085 2 0 0.262225 
200 2 0.505414 4 0 0.888169 
300 2 0.309352 5 0 0.944491 
400 2 0.00705315 6 0 1 
500 2 0.00718703 6 0 1 
600 2 0.0198431 6 0 1 
700 2 0.0354501 5 0 1 
800 2 0.0921434 3 0 1 
900 2 0.185838 2 0 1 
1000 2 0.296223 2 0 1 
1100 3 0.58951 3 0.00074184 1.00074 
1200 3 0.702282 3 0.000361272 1.00036 
1300 3 0.969196 3 0.000332889 1.00033 
1400 3 1.0046 3 0 1 
1500 3 0.946751 3 0 1 
1600 4 0.798597 4 0 1 
1700 5 0.85925 7 0.000260214 1.00028 
1800 5 0.780133 9 0.000258021 1.00028 
1900 5 0.884019 7 0.000257154 1.00028 
2000 4 0.999711 6 0 1 
2100 4 1.12726 5 0 1 
2200 4 1.10051 4 0 1 
2300 4 1.09941 4 0 1 
2400 4 1.04036 4 0 1 
2500 4 1.13418 4 0 1 
