# Mon Feb 19 16:36:43 2024
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 9 0.902808 18 0.144841 0.328867 
200 9 0.780335 17 0.0799727 0.206628 
300 10 1.50879 18 0.151841 0.489427 
400 12 1.78496 21 0.231626 0.879525 
500 11 1.7462 23 0.305529 1.19645 
600 11 1.64121 23 0.306173 1.24529 
700 13 1.64609 22 0.300157 1.23334 
800 13 1.71812 25 0.308101 1.23238 
900 12 1.72171 19 0.310802 1.22908 
1000 12 1.73468 20 0.301598 1.19595 
1100 12 1.74528 24 0.298711 1.19055 
1200 12 1.80186 24 0.275162 1.11797 
1300 12 1.84524 22 0.279139 1.1004 
1400 10 1.7948 20 0.283598 1.1292 
1500 13 1.82671 27 0.302165 1.15961 
1600 13 1.82558 25 0.294394 1.16282 
1700 13 1.81781 22 0.285571 1.15712 
1800 13 1.87267 23 0.295697 1.16173 
1900 13 1.84884 25 0.291322 1.1295 
2000 13 1.87731 24 0.297402 1.13524 
2100 12 1.87094 19 0.309082 1.12649 
2200 11 1.91944 25 0.3245 1.10604 
2300 13 2.05925 24 0.373414 1.12796 
2400 14 2.11392 27 0.417488 1.15769 
2500 14 2.10471 27 0.443852 1.11975 
2600 14 2.111 27 0.470274 1.1003 
2700 13 2.0605 23 0.475223 1.05334 
2800 14 2.07239 24 0.491621 1.04224 
2900 15 2.2053 28 0.665953 1.35662 
3000 14 2.18512 29 0.80056 1.60249 
3100 13 2.13683 27 0.942579 1.86384 
3200 14 2.08727 31 0.868904 1.70716 
3300 14 2.0532 29 0.764248 1.49669 
3400 14 2.0581 28 0.649172 1.27205 
3500 12 2.1321 26 0.676252 1.32019 
3600 15 2.31022 30 0.872606 1.69271 
3700 14 2.24331 27 0.874241 1.69877 
3800 16 2.31118 34 0.851027 1.66201 
3900 16 2.09972 30 0.634452 1.24446 
4000 17 1.73984 28 0.408771 0.810866 
4100 19 1.65889 27 0.334791 0.665511 
4200 19 1.5366 31 0.305149 0.60448 
4300 18 2.01396 33 0.519244 1.01444 
4400 18 2.26388 39 0.673498 1.31875 
4500 21 2.44667 44 0.807757 1.58499 
4600 21 2.26091 43 0.745843 1.45774 
4700 21 1.99583 39 0.57431 1.12813 
4800 22 1.5915 40 0.369233 0.724337 
4900 20 1.52088 34 0.302619 0.604059 
5000 20 1.83211 32 0.412608 0.822562 
