# Avida Dominant Parasite Data
# Thu Feb 22 14:08:38 2024
#  1: Update
#  2: Number of Extant Parasites

0 956 
100 921 
200 1021 
300 2458 
400 2770 
500 2834 
600 2556 
700 2308 
800 2089 
900 1971 
1000 1923 
1100 1909 
1200 1896 
1300 1861 
1400 1844 
1500 1857 
1600 1809 
1700 1792 
1800 1808 
1900 1819 
2000 1637 
2100 1681 
2200 1842 
2300 2189 
2400 2301 
2500 2386 
2600 2292 
2700 2258 
2800 2142 
2900 2009 
3000 1980 
3100 2010 
3200 1958 
3300 1925 
3400 1873 
3500 1853 
3600 1928 
3700 1938 
3800 1860 
3900 1738 
4000 1566 
4100 1404 
4200 1414 
4300 1633 
4400 1945 
4500 1972 
4600 1689 
4700 1353 
4800 1150 
4900 915 
5000 829 
