# Wed Feb 21 15:38:57 2024
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 2 0.822922 2 0 0.257482 
200 2 0.512403 4 0 0.885818 
300 2 0.310366 5 0 0.944243 
400 2 0.00701916 6 0 1 
500 2 0.0101209 6 0 1 
600 2 0.0107264 6 0 1 
700 2 0.0148547 5 0 1 
800 2 0.0122883 5 0 1 
900 2 0.0203043 3 0 1 
1000 2 0.0172444 2 0 1 
1100 2 0.0243366 2 0 1 
1200 2 0.0307946 2 0 1 
1300 3 0.0517365 3 0 1 
1400 3 0.0857372 3 0 1 
1500 3 0.100906 3 0 1 
1600 3 0.1342 3 0 1 
1700 3 0.180354 3 0 1 
1800 3 0.287196 3 0 1 
1900 3 0.500675 3 0 1 
2000 3 0.650523 3 0 1 
2100 4 0.980217 4 0 1 
2200 4 1.12158 4 0 1 
2300 4 1.236 4 0 1 
2400 5 1.13701 5 0 1 
2500 4 1.09096 4 0 1 
2600 6 0.943237 10 0.000259773 1.00028 
2700 4 1.05771 10 0 1 
2800 4 0.999095 9 0 1 
2900 7 1.04622 13 0.00106958 1.00112 
3000 5 1.12429 9 0.000278474 1.00028 
3100 5 1.05006 9 0.000278087 1.00028 
3200 5 1.18141 7 0.000556638 1.00056 
3300 5 1.11514 6 0.00083426 1.00083 
3400 6 1.10633 8 0.000556019 1.00056 
3500 6 1.17063 6 0.00166991 1.00167 
