# Avida Dominant Parasite Data
# Thu Feb  8 23:42:06 2024
#  1: Update
#  2: Number of Extant Parasites

0 2072 
100 2254 
200 3202 
300 3434 
400 2156 
500 2013 
600 1792 
700 1666 
800 1625 
900 1596 
1000 1593 
1100 1598 
1200 1625 
1300 1624 
1400 1628 
1500 1608 
1600 1635 
1700 1624 
1800 1598 
1900 1643 
2000 1660 
2100 1669 
2200 1688 
2300 1671 
2400 1746 
2500 1762 
2600 1760 
2700 1776 
2800 1746 
2900 1729 
3000 1737 
3100 1753 
3200 1756 
3300 1759 
3400 1763 
3500 1766 
3600 1727 
3700 1757 
3800 1725 
3900 1697 
4000 1747 
4100 1813 
4200 1963 
4300 2042 
4400 2103 
4500 2149 
4600 2128 
4700 2181 
4800 2163 
4900 2191 
5000 2099 
