# Thu Feb  8 23:42:06 2024
#  1: Update
#  2: Unique Phenotypes (by task done)
#  3: Shannon Diversity of Phenotypes (by task done)
#  4: Unique Phenotypes (by task count)
#  5: Average Phenotype Shannon Diversity (by task count)
#  6: Average Task Diversity (number of different tasks)

0 1 0 1 0 0 
100 2 0.796883 2 0 0.241111 
200 2 0.941291 4 0 0.641667 
300 2 0.90797 4 0 0.676667 
400 1 0 3 0 1 
500 2 0.0100875 4 0 1 
600 2 0.0156388 2 0 1 
700 2 0.0112121 2 0 1 
800 2 0.00633007 2 0 1 
900 2 0.00638491 2 0 1 
1000 2 0.00633579 2 0 1 
1100 2 0.0258668 2 0 1 
1200 2 0.0383206 2 0 1 
1300 2 0.0383537 2 0 1 
1400 2 0.0497615 2 0 1 
1500 2 0.0715038 2 0 1 
1600 2 0.0806938 2 0 1 
1700 2 0.11022 2 0 1 
1800 2 0.176111 2 0 1 
1900 2 0.231943 2 0 1 
2000 2 0.303915 2 0 1 
2100 2 0.382417 2 0 1 
2200 3 0.479738 3 0 1 
2300 3 0.576031 3 0 1 
2400 3 0.655996 3 0 1 
2500 3 0.72162 3 0 1 
2600 3 0.775707 3 0 1 
2700 4 0.855303 4 0 1 
2800 4 0.914358 4 0 1 
2900 4 0.948231 4 0 1 
3000 4 0.96623 4 0 1 
3100 4 1.00839 4 0 1 
3200 4 1.04018 4 0 1 
3300 4 1.11168 4 0 1 
3400 4 1.21169 4 0 1 
3500 4 1.31191 4 0 1 
3600 4 1.49207 4 0 1 
3700 4 1.61481 4 0 1 
3800 4 1.79791 4 0 1 
3900 4 1.93931 4 0 1 
4000 4 1.98975 4 0 1 
4100 5 1.9825 5 0.00141693 1.00142 
4200 5 1.91464 5 0.00138122 1.00138 
4300 5 1.84374 5 0.00102881 1.00103 
4400 5 1.78547 5 0.000680735 1.00068 
4500 5 1.73576 5 0.000687285 1.00069 
4600 5 1.6874 5 0.000691802 1.00069 
4700 6 1.63684 6 0.000711238 1.00071 
4800 6 1.60138 6 0.000723589 1.00072 
4900 6 1.57835 6 0.000368732 1.00037 
5000 6 1.5573 6 0.000380084 1.00038 
